valid_time,latitude,longitude,tp,u10,v10,t2m,slt,swvl1,swvl2,swvl3,swvl4,lai_hv,lai_lv,site_id
2012-11-01,51.80342,-0.372683,0.003255844,1.4921255,1.4332638,280.0022,4.0,0.45239103,0.45566988,0.44280756,0.41151428,2.171875,2.0766602,site_1
2012-12-01,51.80342,-0.372683,0.0028524399,2.5071745,1.6251278,278.17114,4.0,0.45409304,0.4583645,0.46320552,0.43684387,2.184204,2.1381836,site_1
2013-01-01,51.80342,-0.372683,0.0015773773,1.1734438,0.8029804,276.76904,4.0,0.43531084,0.4372946,0.44755876,0.45378113,2.173706,2.1306152,site_1
2013-02-01,51.80342,-0.372683,0.0014343262,-0.031790733,-1.3310556,275.97754,4.0,0.44005638,0.4443767,0.44050926,0.45233154,2.0916748,1.9171143,site_1
2013-03-01,51.80342,-0.372683,0.0021400452,-2.3328543,-1.2215004,275.90747,4.0,0.43716425,0.43712997,0.43527055,0.45133972,2.131836,2.0184326,site_1
2013-04-01,51.80342,-0.372683,0.0015010834,0.28587532,0.32814217,280.8086,4.0,0.4095801,0.40868855,0.41672474,0.44914246,2.253296,2.3707275,site_1
2013-05-01,51.80342,-0.372683,0.002111435,1.654377,-0.07347107,283.86548,4.0,0.3685233,0.35079485,0.3606503,0.4412079,2.3829346,2.7816162,site_1
2013-06-01,51.80342,-0.372683,0.0009994507,0.8792343,-0.19887066,287.29346,4.0,0.33069438,0.33007246,0.34053177,0.4315796,2.3898926,2.7867432,site_1
2013-07-01,51.80342,-0.372683,0.0017356873,-0.017500877,0.30892563,292.15186,4.0,0.29126352,0.28709865,0.32570642,0.42184448,2.2663574,2.3173828,site_1
2013-08-01,51.80342,-0.372683,0.0022659302,1.5984812,0.5987692,290.7041,4.0,0.34773016,0.32881254,0.30642343,0.41270447,2.1921387,2.0488281,site_1
2013-09-01,51.80342,-0.372683,0.0019111633,0.825943,-0.023492813,287.04028,4.0,0.38613445,0.37772787,0.31629753,0.40626526,2.1564941,1.9645996,site_1
2013-10-01,51.80342,-0.372683,0.0028629303,1.593504,1.9165106,285.68726,4.0,0.42697972,0.41720647,0.35533524,0.40260315,2.1420898,1.9381104,site_1
2013-11-01,51.80342,-0.372683,0.0018367767,2.1064978,-0.9697752,279.69824,4.0,0.44482183,0.4475066,0.4290151,0.4042511,2.171875,2.0766602,site_1
2013-12-01,51.80342,-0.372683,0.0026454926,2.5563383,3.371211,279.49365,4.0,0.43867278,0.44134992,0.4428382,0.41329956,2.184204,2.1381836,site_1
2014-01-01,51.80342,-0.372683,0.00349617,1.5818586,3.7283134,279.17554,4.0,0.4569903,0.4592979,0.46435595,0.44197083,2.173706,2.1306152,site_1
2014-02-01,51.80342,-0.372683,0.0034561157,2.3976183,4.7756577,279.6057,4.0,0.4533552,0.45598763,0.4668513,0.46316528,2.0916748,1.9171143,site_1
2014-03-01,51.80342,-0.372683,0.001033783,0.8277025,0.94449234,281.0608,4.0,0.40924716,0.41422415,0.4280699,0.46287537,2.131836,2.0184326,site_1
2014-04-01,51.80342,-0.372683,0.0020618439,0.13209057,0.45296955,283.8567,4.0,0.37892562,0.3675012,0.36814827,0.4521942,2.253296,2.3707275,site_1
2014-05-01,51.80342,-0.372683,0.0026378632,0.9052906,0.813529,285.78052,4.0,0.39379203,0.37314206,0.3360526,0.44004822,2.3829346,2.7816162,site_1
